casename,judge_name,girls,any_girls,progressive_vote,republican,age,catholic,woman,african,hispanic,child,femplaintiff,area,religion,race,circuit,year
"EEOC v. Roadway Express, Inc.","Batchelder, Alice M.",1,1,1,1,47,0,1,0,0,2,NA,employment,2,1,6,2001
McCrary v. Ohio Civil Serv. Emples. Ass'n Local 11,"Kennedy, Cornelia Groefsema",0,0,0,0,56,1,1,0,0,1,0,employment,4,1,6,2001
Virostek v. Liberty Twp. Police Department/Trustees,"Moore, Karen",1,1,0,0,47,0,1,0,0,3,1,employment,1,1,6,2001
Miller v. Alldata Corp.,"Moore, Karen",1,1,1,0,47,0,1,0,0,3,1,employment,1,1,6,2001
"Moore v. Fox TV Stations, Inc.","Batchelder, Alice M.",1,1,0,1,47,0,1,0,0,2,1,employment,2,1,6,2001
Hampshire v. Henderson,"Moore, Karen",1,1,0,0,47,0,1,0,0,3,1,employment,1,1,6,2001
Lee v. United States Postal Serv.,"Siler, Eugene E., Jr.",0,0,0,1,55,0,0,0,0,2,1,employment,3,1,6,2001
Helfrich v. Metal Container Corp.,"Boggs, Danny J.",2,1,0,1,42,0,0,0,0,3,0,employment,5,1,6,2001
Kiphart v. Saturn Corp.,"Gilman, Ronald",2,1,1,0,NA,NA,0,NA,NA,2,0,employment,NA,NA,6,2001
"Ziegler v. IBP Hog Mkt., Inc.","Siler, Eugene E., Jr.",0,0,1,1,55,0,0,0,0,2,0,employment,3,1,6,2001
"Henderson v. Ardco, Inc.","Gilman, Ronald",2,1,1,0,NA,NA,0,NA,NA,2,1,employment,NA,NA,6,2001
Fisher v. Peters,"Gilman, Ronald",2,1,0,0,NA,NA,0,NA,NA,2,1,employment,NA,NA,6,2001
Gwen v. Reg'l Transit Auth.,"Gilman, Ronald",2,1,0,0,NA,NA,0,NA,NA,2,1,employment,NA,NA,6,2001
"Wanchik v. Great Lakes Health Plan, Inc.","Cole, Ransey",1,1,1,0,NA,NA,0,NA,NA,3,1,employment,NA,NA,6,2001
Bullard v. Roadway Express,"Norris, Alan E.",1,1,0,1,51,0,0,0,0,2,1,employment,10,1,6,2001
Haley v. GE,"Moore, Karen",1,1,0,0,47,0,1,0,0,3,1,employment,1,1,6,2001
"Ricker v. Food Lion, Inc.","Norris, Alan E.",1,1,0,1,51,0,0,0,0,2,1,employment,10,1,6,2001
Nelson v. GE,"Boggs, Danny J.",2,1,0,1,42,0,0,0,0,3,1,employment,5,1,6,2001
Hall v. State Farm Ins. Co.,"Batchelder, Alice M.",1,1,0,1,47,0,1,0,0,2,1,employment,2,1,6,2001
White v. Simpson Indus.,"Moore, Karen",1,1,0,0,47,0,1,0,0,3,0,employment,1,1,6,2001
"Parry v. Mohawk Motors of Mich., Inc.","Siler, Eugene E., Jr.",0,0,0,1,55,0,0,0,0,2,0,employment,3,1,6,2000
Davis v. Henderson,"Jones, Nathaniel R.",2,1,0,0,53,0,0,1,0,5,0,employment,3,2,6,2000
Vance v. Spencer County Pub. Sch. Dist.,"Daughtrey, Martha Craig",1,1,1,0,NA,0,1,0,0,1,1,employment,2,1,6,2000
"Hutchinson v. Fifth Third Bank of Northwestern Ohio, N.A.","Wellford, Harry W.",2,1,0,1,58,0,0,0,0,5,1,employment,7,1,6,2000
Brune v. BASF Corp.,"Batchelder, Alice M.",1,1,1,1,47,0,1,0,0,2,1,employment,2,1,6,2000
Adcock-Ladd v. Secretary of Treasury,"Norris, Alan E.",1,1,1,1,51,0,0,0,0,2,1,employment,10,1,6,2000
"Courtney v. Landair Transp., Inc.","Moore, Karen",1,1,1,0,47,0,1,0,0,3,1,employment,1,1,6,2000
Kovacevich v. Kent State Univ.,"Cole, Ransey",1,1,1,0,NA,NA,0,NA,NA,3,1,employment,NA,NA,6,2000
Hoskins v. Oakland County Sheriff's Dep't,"Moore, Karen",1,1,0,0,47,0,1,0,0,3,1,employment,1,1,6,2000
Sims v. University of Cincinnati,"Norris, Alan E.",1,1,0,1,51,0,0,0,0,2,1,employment,10,1,6,2000
Bowman v. Shawnee State Univ.,"Daughtrey, Martha Craig",1,1,0,0,NA,0,1,0,0,1,0,employment,2,1,6,2000
Smith v. Leggett Wire Co.,"Siler, Eugene E., Jr.",0,0,0,1,55,0,0,0,0,2,0,employment,3,1,6,2000
Hall v. Baptist Mem'l Health Care Corp.,"Suhrheinrich, Richard F.",NA,NA,0,1,54,1,0,0,0,3,1,employment,4,1,6,2000
Johnson v. University of Cincinnati,"Daughtrey, Martha Craig",1,1,1,0,NA,0,1,0,0,1,1,employment,2,1,6,2000
Pollard v. E. I. DuPont de Nemours Co.,"Merritt, Gilbert S.",1,1,1,0,41,0,0,0,0,3,1,employment,2,1,6,2000
"Graham-Humphreys v. Memphis Brooks Museum of Art, Inc.","Norris, Alan E.",1,1,0,1,51,0,0,0,0,2,1,employment,10,1,6,2000
Laderach v. U-Haul,"Keith, Damon J.",3,1,1,0,55,0,0,1,0,3,1,employment,3,2,6,2000
Slayton v. Ohio Dep't of Youth Servs.,"Norris, Alan E.",1,1,1,1,51,0,0,0,0,2,1,employment,10,1,6,2000
Burnett v. Tyco Corp.,"Suhrheinrich, Richard F.",NA,NA,0,1,54,1,0,0,0,3,1,employment,4,1,6,2000
Morris v. Oldham County Fiscal Court,"Krupansky, Robert B.",NA,NA,1,1,61,1,0,0,0,NA,1,employment,4,1,6,2000
Cline v. Catholic Diocese,"Moore, Karen",1,1,1,0,47,0,1,0,0,3,1,employment,1,1,6,1999
"Duggins v. Steak 'n Shake, Inc.","Clay, Eric",0,0,1,0,44,0,0,1,0,0,1,employment,99,2,6,1999
Soper by Soper v. Hoben,"Kennedy, Cornelia Groefsema",0,0,0,0,56,1,1,0,0,1,1,employment,4,1,6,1999
Sherman v. American Cyanamid Co.,"Ryan, James L.",2,1,0,1,53,1,0,0,0,4,1,employment,4,1,6,1999
Williams v. GMC,"Lay, Donald",5,1,1,0,40,0,0,0,0,5,1,employment,8,1,6,1999
Reed v. County of Casey,"Daughtrey, Martha Craig",1,1,0,0,NA,0,1,0,0,1,1,employment,2,1,6,1999
Dobbs-Weinstein v. Vanderbilt Univ.,"Kennedy, Cornelia Groefsema",0,0,0,0,56,1,1,0,0,1,1,employment,4,1,6,1999
Warfield v. Lebanon Correctional Inst.,"Boggs, Danny J.",2,1,0,1,42,0,0,0,0,3,1,employment,5,1,6,1999
Jacklyn v. Schering-Plough Healthcare Prods. Sales Corp.,"Guy, Ralph B., Jr.",NA,NA,0,1,56,0,0,0,0,NA,1,employment,10,1,6,1999
"Alexander v. Local 496, Laborers' Int'l Union","Keith, Damon J.",3,1,1,0,55,0,0,1,0,3,NA,employment,3,2,6,1999
"Wellons v. Northwest Airlines, Inc.","Batchelder, Alice M.",1,1,1,1,47,0,1,0,0,2,1,employment,2,1,6,1999
Bush v. Dictaphone Corp.,"Clay, Eric",0,0,0,0,44,0,0,1,0,0,0,employment,99,2,6,1998
Scott v. Goodyear Tire & Rubber Co.,"Merritt, Gilbert S.",1,1,1,0,41,0,0,0,0,3,0,employment,2,1,6,1998
Abeita v. TransAmerica Mailings,"Cole, Ransey",1,1,1,0,NA,NA,0,NA,NA,3,1,employment,NA,NA,6,1998
United States v. Brandon,"Ryan, James L.",2,1,1,1,53,1,0,0,0,4,0,employment,4,1,6,1998
Davis v. Sodexho,"Cole, Ransey",1,1,0,0,NA,NA,0,NA,NA,3,1,employment,NA,NA,6,1998
Frizzell v. Southwest Motor Freight,"Kennedy, Cornelia Groefsema",0,0,1,0,56,1,1,0,0,1,1,employment,4,1,6,1998
Berger v. City of Mayfield Heights,"Daughtrey, Martha Craig",1,1,1,0,NA,0,1,0,0,1,0,employment,2,1,6,1998
Barnett v. Department of Veterans Affairs,"Nelson, David A.",1,1,0,1,53,0,0,0,0,3,1,employment,9,1,6,1998
Helfrich v. Metal Container Corp.,"Daughtrey, Martha Craig",1,1,0,0,NA,0,1,0,0,1,0,employment,2,1,6,1998
Gonzales v. Galvin,"Batchelder, Alice M.",1,1,1,1,47,0,1,0,0,2,0,employment,2,1,6,1998
Brickers v. Cleveland Bd. of Educ.,"Kennedy, Cornelia Groefsema",0,0,0,0,56,1,1,0,0,1,1,employment,4,1,6,1998
Killian v. Healthsource Provident Adm'rs,"Daughtrey, Martha Craig",1,1,1,0,NA,0,1,0,0,1,1,employment,2,1,6,1998
Equality Found. v. City of Cincinnati,"Krupansky, Robert B.",NA,NA,0,1,61,1,0,0,0,NA,NA,employment,4,1,6,1998
Buntin v. Breathitt County Bd. of Educ.,"Moore, Karen",1,1,1,0,47,0,1,0,0,3,1,employment,1,1,6,1998
Hudson v. Reno,"Suhrheinrich, Richard F.",NA,NA,0,1,54,1,0,0,0,3,1,employment,4,1,6,1997
Equality Found. v. City of Cincinnati,"Krupansky, Robert B.",NA,NA,1,1,61,1,0,0,0,NA,NA,employment,4,1,6,1997
Kline v. TVA,"Martin, Boyce F., Jr.",2,1,1,0,44,0,0,0,0,4,0,employment,2,1,6,1997
Stemler v. City of Florence,"Merritt, Gilbert S.",1,1,1,0,41,0,0,0,0,3,1,employment,2,1,6,1997
North Bank v. Cincinnati Ins. Cos.,"Boggs, Danny J.",2,1,1,1,42,0,0,0,0,3,NA,employment,5,1,6,1997
Blankenship v. Parke Care Ctrs.,"Merritt, Gilbert S.",1,1,0,0,41,0,0,0,0,3,1,employment,2,1,6,1997
Wathen v. GE,"Suhrheinrich, Richard F.",NA,NA,0,1,54,1,0,0,0,3,1,employment,4,1,6,1997
EEOC v. Yenkin-Majestic Paint Corp.,"Cole, Ransey",1,1,1,0,NA,NA,0,NA,NA,3,1,employment,NA,NA,6,1997
Valot v. Southeast Local Sch. Dist. Bd. of Educ.,"Ryan, James L.",2,1,0,1,53,1,0,0,0,4,1,employment,4,1,6,1997
Gaines v. Runyon,"Ryan, James L.",2,1,0,1,53,1,0,0,0,4,0,employment,4,1,6,1997
Yeary v. Goodwill Industries- Knoxville,"Nelson, David A.",1,1,1,1,53,0,0,0,0,3,0,employment,9,1,6,1997
EEOC v. Avery Dennison Corp.,"Martin, Boyce F., Jr.",2,1,1,0,44,0,0,0,0,4,0,employment,2,1,6,1997
Timmer v. Michigan DOC,"Siler, Eugene E., Jr.",0,0,0,1,55,0,0,0,0,2,1,employment,3,1,6,1997
Black v. Zaring Homes,"Batchelder, Alice M.",1,1,0,1,47,0,1,0,0,2,1,employment,2,1,6,1997
Ensley-Gaines v. Runyon,"Cole, Ransey",1,1,1,0,NA,NA,0,NA,NA,3,1,employment,NA,NA,6,1996
Kocsis v. Multi-Care Mgmt.,"Kennedy, Cornelia Groefsema",0,0,0,0,56,1,1,0,0,1,1,employment,4,1,6,1996
Crawford v. Medina Gen. Hosp.,"Norris, Alan E.",1,1,0,1,51,0,0,0,0,2,1,employment,10,1,6,1996
Monette v. Electronic Data Sys. Corp.,"Moore, Karen",1,1,0,0,47,0,1,0,0,3,0,employment,1,1,6,1996
Wedding v. University of Toledo,"Brown, Bailey",0,0,0,0,62,0,0,0,0,1,1,employment,2,1,6,1996
Boyd v. Harding Academy,"Jones, Nathaniel R.",2,1,0,0,53,0,0,1,0,5,1,employment,3,2,6,1996
Williams v. Mich.,"Clay, Eric",0,0,0,0,44,0,0,1,0,0,1,equal protection,99,2,6,2002
Hyman v. City of Louisville,"Batchelder, Alice M.",1,1,0,1,47,0,1,0,0,2,0,equal protection,2,1,6,2002
Miller v. City of Columbus,"Clay, Eric",0,0,0,0,44,0,0,1,0,0,1,equal protection,99,2,6,2002
Miami Univ. Wrestling Club v. Miami Univ.,"Batchelder, Alice M.",1,1,0,1,47,0,1,0,0,2,0,Title IX,2,1,6,2002
Hickman v. Laskodi,"Moore, Karen",1,1,1,0,47,0,1,0,0,3,1,equal protection,1,1,6,2002
Leslie v. Randle,"Clay, Eric",0,0,0,0,44,0,0,1,0,0,0,equal protection,99,2,6,2002
Jones v. Union County,"Siler, Eugene E., Jr.",0,0,0,1,55,0,0,0,0,2,1,equal protection,3,1,6,2002
Gragg v. Ky. Cabinet for Workforce Dev.,"Siler, Eugene E., Jr.",0,0,0,1,55,0,0,0,0,2,1,equal protection,3,1,6,2002
Wilde v. Ohio Veterinary Med. Licensing Bd.,"Gilman, Ronald",2,1,0,0,NA,NA,0,NA,NA,2,1,equal protection,NA,NA,6,2002
Woodruff v. Ohman,"Batchelder, Alice M.",1,1,0,1,47,0,1,0,0,2,1,equal protection,2,1,6,2002
Brindisi v. Regano,"Kennedy, Cornelia Groefsema",0,0,0,0,56,1,1,0,0,1,1,Title IX,4,1,6,2001
Yeager v. GMC,"Siler, Eugene E., Jr.",0,0,0,1,55,0,0,0,0,2,0,equal protection,3,1,6,2001
Nelson v. GE,"Boggs, Danny J.",2,1,0,1,42,0,0,0,0,3,1,equal protection,5,1,6,2001
Kovacevich v. Kent State Univ.,"Cole, Ransey",1,1,1,0,NA,NA,0,NA,NA,3,1,equal protection,NA,NA,6,2000
Sims v. University of Cincinnati,"Norris, Alan E.",1,1,0,1,51,0,0,0,0,2,1,equal protection,10,1,6,2000
Pollard v. E. I. DuPont de Nemours Co.,"Clay, Eric",0,0,1,0,44,0,0,1,0,0,1,equal protection,99,2,6,2000
Horner ex rel. Horner v. Kentucky High Sch. Ath. Ass'n,"Norris, Alan E.",1,1,0,1,51,0,0,0,0,2,1,equal protection,10,1,6,2000
Gardenhire v. Schubert,"Cole, Ransey",1,1,0,0,NA,NA,0,NA,NA,3,3,equal protection,NA,NA,6,2000
Glover v. Johnson,"Ryan, James L.",2,1,0,1,53,1,0,0,0,4,1,equal protection,4,1,6,1999
Soper by Soper v. Hoben,"Kennedy, Cornelia Groefsema",0,0,0,0,56,1,1,0,0,1,1,equal protection,4,1,6,1999
Safeco Ins. Co. of Am. v. City of White House,"Nelson, David A.",1,1,1,1,53,0,0,0,0,3,NA,equal protection,9,1,6,1999
Williams v. GMC,"Lay, Donald",5,1,1,0,40,0,0,0,0,5,1,equal protection,8,1,6,1999
Thaddeus-X v. Blatter,"Engel, Albert J.",2,1,1,1,49,0,0,0,0,4,0,equal protection,2,1,6,1999
United States v. McFerron,"Batchelder, Alice M.",1,1,0,1,47,0,1,0,0,2,1,equal protection,2,1,6,1998
United States v. Maxwell,"Wellford, Harry W.",2,1,1,1,58,0,0,0,0,5,0,equal protection,7,1,6,1998
Barrett v. Harrington,"Suhrheinrich, Richard F.",NA,NA,1,1,54,1,0,0,0,3,0,equal protection,4,1,6,1997
Stemler v. City of Florence,"Boggs, Danny J.",2,1,1,1,42,0,0,0,0,3,1,equal protection,5,1,6,1997
Valot v. Southeast Local Sch. Dist. Bd. of Educ.,"Ryan, James L.",2,1,0,1,53,1,0,0,0,4,1,equal protection,4,1,6,1997
Coleman v. Dewitt,"Gilman, Ronald",2,1,0,0,NA,NA,0,NA,NA,2,0,abortion,NA,NA,6,2002
Bloch v. Ribar,"Gilman, Ronald",2,1,1,0,NA,NA,0,NA,NA,2,3,abortion,NA,NA,6,1998
Women's Medical Professional Corp. v. Voinovich,"Brown, Bailey",0,0,1,0,62,0,0,0,0,1,0,abortion,2,1,6,1997
Doe v. Sundquist,"Engel, Albert J.",2,1,0,1,49,0,0,0,0,4,3,abortion,2,1,6,1997
Cline v. Catholic Diocese,"Moore, Karen",1,1,1,0,47,0,1,0,0,3,1,pregnancy,1,1,6,1999
EEOC v. Yenkin-Majestic Paint Corp.,"Cole, Ransey",1,1,1,0,NA,NA,0,NA,NA,3,1,pregnancy,NA,NA,6,1997
Ensley-Gaines v. Runyon,"Cole, Ransey",1,1,1,0,NA,NA,0,NA,NA,3,1,pregnancy,NA,NA,6,1996
Boyd v. Harding Academy,"Jones, Nathaniel R.",2,1,0,0,53,0,0,1,0,5,1,pregnancy,3,2,6,1996
Newbold v. Wis. State Pub. Defender,"Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,1,employment,4,1,7,2002
Albrechtsen v. Bd. of Regents,"Easterbrook, Frank H.",0,0,0,1,37,0,0,0,0,0,0,employment,3,1,7,2002
Shick v. Ill. Dep't of Human Servs.,"Flaum, Joel M.",1,1,0,1,47,0,0,0,0,2,0,employment,5,1,7,2002
Fine v. Ryan Int'l Airlines,"Kanne, Michael S.",2,1,1,1,49,1,0,0,0,2,1,employment,4,1,7,2002
Nanda v. Bd. of Trs. of the Univ. of Ill.,"Kanne, Michael S.",2,1,1,1,49,1,0,0,0,2,1,employment,4,1,7,2002
Tinder v. Pinkerton Sec.,"Rovner, Ilana",0,0,0,1,54,0,1,0,0,1,1,employment,5,1,7,2002
Schobert v. Ill. DOT,"Coffey, John L.",1,1,0,1,60,1,0,0,0,2,0,employment,4,1,7,2002
Sonnleitner v. York,"Wood, Diane",2,1,0,0,45,0,1,0,0,3,0,employment,99,1,7,2002
United States v. Sines,"Rovner, Ilana",0,0,0,1,54,0,1,0,0,1,0,employment,5,1,7,2002
Mateu-Anderegg v. Sch. Dist. of Whitefish Bay,"Wood, Diane",2,1,0,0,45,0,1,0,0,3,1,employment,99,1,7,2002
Franzoni v. Hartmarx Corp.,"Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,0,employment,4,1,7,2002
Hall v. Gary Cmty. Sch. Corp.,"Rovner, Ilana",0,0,0,1,54,0,1,0,0,1,0,employment,5,1,7,2002
Lim v. Trs. of Ind. Univ.,Harlington-Wood,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,7,2002
Traylor v. Brown,"Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,1,employment,4,1,7,2002
Krchnavy v. Limagrain Genetics Corp.,"Cudahy, Richard D.",4,1,0,0,53,1,0,0,0,7,1,employment,4,1,7,2002
Gustafson v. Jones,"Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,0,employment,4,1,7,2002
Peele v. Country Mut. Ins. Co.,"Rovner, Ilana",0,0,0,1,54,0,1,0,0,1,1,employment,5,1,7,2002
"EEOC v. United Air Lines, Inc.","Easterbrook, Frank H.",0,0,0,1,37,0,0,0,0,0,1,employment,3,1,7,2002
Hojnacki v. Klein-Acosta,"Ripple, Kenneth F.",3,1,0,1,42,1,0,0,0,3,1,employment,4,1,7,2002
Kitchen v. Ttx Co.,"Bauer, William J.",2,1,1,1,49,1,0,0,0,2,1,employment,4,1,7,2002
Schroeder v. Hamilton Sch. Dist.,"Posner, Richard A.",0,0,0,1,42,0,0,0,0,2,0,employment,5,1,7,2002
Patterson v. Avery Dennison Corp.,"Easterbrook, Frank H.",0,0,0,1,37,0,0,0,0,0,1,employment,3,1,7,2002
"Millbrook v. IBP, Inc.","Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,0,employment,4,1,7,2002
McGuire v. City of Springfield,"Coffey, John L.",1,1,0,1,60,1,0,0,0,2,1,employment,4,1,7,2002
Patt v. Family Health Sys.,"Rovner, Ilana",0,0,0,1,54,0,1,0,0,1,1,employment,5,1,7,2002
Hall v. Bodine Elec. Co.,"Easterbrook, Frank H.",0,0,0,1,37,0,0,0,0,0,1,employment,3,1,7,2002
Patton v. Indianapolis Pub. Sch. Bd.,"Easterbrook, Frank H.",0,0,0,1,37,0,0,0,0,0,1,employment,3,1,7,2002
Markel v. Bd. of Regents of the Univ. of Wis. Sys.,"Posner, Richard A.",0,0,0,1,42,0,0,0,0,2,1,employment,5,1,7,2002
Hedrich v. Bd. of Regents of the Univ. of Wis. Sys.,"Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,1,employment,4,1,7,2001
Bishop v. Gainer,"Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,0,employment,4,1,7,2001
Hakim v. Payco-General Am. Credits,"Posner, Richard A.",0,0,0,1,42,0,0,0,0,2,0,employment,5,1,7,2001
Casteel v. Exec. Bd. of Local 703 of the Int'l Bhd. of Teamsters,"Wood, Diane",2,1,0,0,45,0,1,0,0,3,0,employment,99,1,7,2001
"Bilow v. Much Shelist Freed Denenberg Ament & Rubenstein, P.C.","Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,1,employment,4,1,7,2001
"Curry v. Menard, Inc.","Manion, Daniel A.",0,0,1,1,44,1,0,0,0,0,1,employment,4,1,7,2001
Bobbitt v. Freeman Cos.,"Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,1,employment,4,1,7,2001
Olsen v. Marshall & Ilsley Corp.,"Evans, Terence",2,1,0,0,55,1,0,0,0,3,0,employment,4,1,7,2001
Cherry v. Univ. of Wis. Sys. Bd. of Regents,"Manion, Daniel A.",0,0,1,1,44,1,0,0,0,0,1,employment,4,1,7,2001
Johnson v. Litscher,"Cudahy, Richard D.",4,1,0,0,53,1,0,0,0,7,0,employment,4,1,7,2001
Berry v. Delta Airlines,"Cudahy, Richard D.",4,1,0,0,53,1,0,0,0,7,1,employment,4,1,7,2001
Linnemeir v. Bd. of Trs.,"Posner, Richard A.",0,0,0,1,42,0,0,0,0,2,0,employment,5,1,7,2001
Hertzberg v. SRAM Corp.,"Ripple, Kenneth F.",3,1,1,1,42,1,0,0,0,3,1,employment,4,1,7,2001
Haugerud v. Amery Sch. Dist.,"Kanne, Michael S.",2,1,1,1,49,1,0,0,0,2,1,employment,4,1,7,2001
Logan v. Kautex Textron N. Am.,"Ripple, Kenneth F.",3,1,0,1,42,1,0,0,0,3,1,employment,4,1,7,2001
Grube v. Lau Indus.,"Posner, Richard A.",0,0,0,1,42,0,0,0,0,2,1,employment,5,1,7,2001
EEOC v. Ind. Bell Tel. Co.,"Easterbrook, Frank H.",0,0,1,1,37,0,0,0,0,0,1,employment,3,1,7,2001
"Hoffman-Dombrowski v. Arlington Int'l Racecourse, Inc.","Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,1,employment,4,1,7,2001
Higbee v. Sentry Ins. Co.,"Posner, Richard A.",0,0,1,1,42,0,0,0,0,2,1,employment,5,1,7,2001
Clay v. Holy Cross Hosp.,"Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,1,pregnancy,4,1,7,2001
"Schreiner v. Caterpillar, Inc.","Ripple, Kenneth F.",3,1,0,1,42,1,0,0,0,3,1,employment,4,1,7,2001
Irizarry v. Bd. of Educ.,"Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,1,employment,4,1,7,2001
Ester v. Principi,"Easterbrook, Frank H.",0,0,1,1,37,0,0,0,0,0,1,employment,3,1,7,2001
"Heinemeier v. Chemetco, Inc.","Coffey, John L.",1,1,1,1,60,1,0,0,0,2,1,employment,4,1,7,2001
Velasco v. Ill. Dep't of Human Servs.,"Ripple, Kenneth F.",3,1,0,1,42,1,0,0,0,3,1,employment,4,1,7,2001
Krause v. City of La Crosse,"Coffey, John L.",1,1,0,1,60,1,0,0,0,2,1,employment,4,1,7,2001
"O'Regan v. Arbitration Forums, Inc.","Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,1,employment,4,1,7,2001
"Logan v. Caterpillar, Inc.","Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,0,employment,4,1,7,2001
"Gordon v. United Airlines, Inc.","Rovner, Ilana",0,0,1,1,54,0,1,0,0,1,0,employment,5,1,7,2001
Speedy v. Rexnord Corp.,"Bauer, William J.",2,1,0,1,49,1,0,0,0,2,0,employment,4,1,7,2001
Carver v. Sheriff of LaSalle County,"Easterbrook, Frank H.",0,0,1,1,37,0,0,0,0,0,3,employment,3,1,7,2001
Gorence v. Eagle Food Ctrs.,"Evans, Terence",2,1,0,0,55,1,0,0,0,3,1,employment,4,1,7,2001
Russell v. Bd. of Trs.,"Wood, Diane",2,1,1,0,45,0,1,0,0,3,1,employment,99,1,7,2001
Basith v. Cook County,"Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,0,employment,4,1,7,2001
Oest v. Illinois Dep't of Corrections,"Ripple, Kenneth F.",3,1,0,1,42,1,0,0,0,3,1,employment,4,1,7,2001
"Bruso v. United Airlines, Inc.","Ripple, Kenneth F.",3,1,1,1,42,1,0,0,0,3,0,employment,4,1,7,2001
Gentry v. Export Packaging Co.,"Ripple, Kenneth F.",3,1,1,1,42,1,0,0,0,3,1,employment,4,1,7,2001
United States v. Guzman,"Ripple, Kenneth F.",3,1,0,1,42,1,0,0,0,3,1,employment,4,1,7,2001
"Sharp v. United Airlines, Inc.","Wood, Diane",2,1,0,0,45,0,1,0,0,3,1,pregnancy,99,1,7,2001
Howard v. Lear Corp. Eeds & Interiors,"Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,1,employment,4,1,7,2000
Bell v. EPA,"Williams, Ann",1,1,1,0,NA,NA,1,NA,NA,2,1,employment,NA,NA,7,2000
Spearman v. Ford Motor Co.,"Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,0,employment,4,1,7,2000
Kapadia v. Tally,"Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,0,employment,4,1,7,2000
Molnar v. Booth,"Ripple, Kenneth F.",3,1,1,1,42,1,0,0,0,3,0,employment,4,1,7,2000
Schultz v. City of Cumberland,"Coffey, John L.",1,1,1,1,60,1,0,0,0,2,0,employment,4,1,7,2000
Varner v. Illinois State Univ.,"Bauer, William J.",2,1,1,1,49,1,0,0,0,2,1,employment,4,1,7,2000
"Hamner v. St. Vincent Hosp. & Health Care Ctr., Inc.","Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,0,employment,4,1,7,2000
DeClue v. Central Ill. Light Co.,"Posner, Richard A.",0,0,0,1,42,0,0,0,0,2,1,employment,5,1,7,2000
Staats v. County of Sawyer,"Flaum, Joel M.",1,1,1,1,47,0,0,0,0,2,0,employment,5,1,7,2000
Ameritech Benefit Plan Comm. v. Commun. Workers of Am.,"Ripple, Kenneth F.",3,1,0,1,42,1,0,0,0,3,1,employment,4,1,7,2000
Kyles v. J.K. Guardian Sec. Servs.,"Ripple, Kenneth F.",3,1,1,1,42,1,0,0,0,3,1,employment,4,1,7,2000
"Hostetler v. Quality Dining, Inc.","Easterbrook, Frank H.",0,0,1,1,37,0,0,0,0,0,1,employment,3,1,7,2000
Vela v. Village of Sauk Village,"Fairchild, Thomas",2,1,0,0,54,0,0,0,0,4,1,employment,11,1,7,2000
"Lang v. Kohl's Food Stores, Inc.","Easterbrook, Frank H.",0,0,0,1,37,0,0,0,0,0,1,employment,3,1,7,2000
Snider v. Belvidere Twp.,"Coffey, John L.",1,1,0,1,60,1,0,0,0,2,1,employment,4,1,7,2000
Greer v. Amesqua,"Ripple, Kenneth F.",3,1,0,1,42,1,0,0,0,3,0,employment,4,1,7,2000
Holman v. Indiana,"Kanne, Michael S.",2,1,0,1,49,1,0,0,0,2,3,employment,4,1,7,2000
Cash v. Illinois Div. of Mental Health,"Rovner, Ilana",0,0,0,1,54,0,1,0,0,1,0,employment,5,1,7,2000
Heuer v. Weil-McLain,"Coffey, John L.",1,1,0,1,60,1,0,0,0,2,1,employment,4,1,7,2000
Miller v. American Family Mut. Ins. Co.,"Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,1,pregnancy,4,1,7,2000
Bellaver v. Quanex Corp./Nichols-Homeshield,"Wood, Diane",2,1,1,0,45,0,1,0,0,3,1,employment,99,1,7,2000
Savino v. C.P. Hall Co.,"Manion, Daniel A.",0,0,0,1,44,1,0,0,0,0,1,employment,4,1,7,1999
"Simpson v. Borg-Warner Auto., Inc.","Easterbrook, Frank H.",0,0,0,1,37,0,0,0,0,0,1,employment,3,1,7,1999
Mizwicki v. Gerald Helwig,"Flaum, Joel M.",1,1,0,1,47,0,0,0,0,2,1,employment,5,1,7,1999
Johnson v. Kakvand,"Easterbrook, Frank H.",0,0,1,1,37,0,0,0,0,0,0,employment,3,1,7,1999
Vakharia v. Swedish Covenant Hosp.,"Coffey, John L.",1,1,0,1,60,1,0,0,0,2,1,employment,4,1,7,1999
